Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-10-23,Anaheim Ducks,1,Detroit Red Wings,5,,17932,2:33,
2022-10-23,New York Islanders,2,Florida Panthers,3,,16342,2:26,
2022-10-23,Columbus Blue Jackets,5,New York Rangers,1,,18006,2:23,
2022-10-23,San Jose Sharks,3,Philadelphia Flyers,0,,14512,2:29,
2022-10-24,Pittsburgh Penguins,3,Edmonton Oilers,6,,17392,2:27,
2022-10-24,Washington Capitals,6,New Jersey Devils,3,,11405,2:31,
2022-10-24,Dallas Stars,2,Ottawa Senators,4,,12088,2:29,
2022-10-24,Carolina Hurricanes,3,Vancouver Canucks,2,,18775,2:34,
2022-10-24,Toronto Maple Leafs,1,Vegas Golden Knights,3,,17989,2:35,
2022-10-24,St. Louis Blues,0,Winnipeg Jets,4,,13936,2:18,
2022-10-25,Dallas Stars,1,Boston Bruins,3,,17850,2:27,
2022-10-25,Arizona Coyotes,6,Columbus Blue Jackets,3,,14498,2:33,
2022-10-25,Pittsburgh Penguins,1,Calgary Flames,4,,17628,2:28,
2022-10-25,Florida Panthers,2,Chicago Blackhawks,4,,12859,2:28,
2022-10-25,New Jersey Devils,6,Detroit Red Wings,2,,16546,2:27,
2022-10-25,Tampa Bay Lightning,2,Los Angeles Kings,4,,16480,2:26,
2022-10-25,Minnesota Wild,3,Montreal Canadiens,1,,20867,2:24,
2022-10-25,Colorado Avalanche,3,New York Rangers,2,SO,18006,2:47,
2022-10-25,Buffalo Sabres,1,Seattle Kraken,5,,17151,2:21,
2022-10-25,Vegas Golden Knights,4,San Jose Sharks,2,,12003,2:26,
2022-10-26,Tampa Bay Lightning,4,Anaheim Ducks,2,,14889,2:31,
2022-10-26,New York Rangers,0,New York Islanders,3,,17255,2:25,
2022-10-26,Edmonton Oilers,3,St. Louis Blues,1,,18096,2:24,
2022-10-27,Detroit Red Wings,1,Boston Bruins,5,,17850,2:31,
2022-10-27,Montreal Canadiens,3,Buffalo Sabres,2,,12735,2:21,
2022-10-27,Edmonton Oilers,6,Chicago Blackhawks,5,,13685,2:38,
2022-10-27,Washington Capitals,0,Dallas Stars,2,,18235,2:25,
2022-10-27,Winnipeg Jets,6,Los Angeles Kings,4,,15716,2:25,
2022-10-27,St. Louis Blues,2,Nashville Predators,6,,17159,2:19,
